id,category,reviewTag*,desc,linkToRepository,linkToOpenedIssue,fixed (y/n/m),cd-linter-bug,comment-labels,fix-labels,reaction,lastChecked,state,isAssigned,numUpvotes,numDownvotes,numComments,label*,monitoringTag*,contributors,contributorsSinceIssue,commitsSinceIssue,resolution-time
OpenMW__openmw__Job-Allow-Failure__MacOS,Job-Allow-Failure,NULL,DROPPED FOR NOW,https://gitlab.com/OpenMW/openmw,omitted,n,,"no-enough-hardware, temporary-smell, no-trust",,reject,200205-181433,closed,FALSE,0,0,2,NULL,reaction:negative,84,24,530,
mike-koch__Mods-for-HESK__Manual-Job__package,Manual-Job,NULL,DROPPED FOR NOW,https://gitlab.com/mike-koch/Mods-for-HESK,omitted,n,deploy-phase,,,,200205-181443,closed,FALSE,0,1,0,NULL,reaction:negative,14,2,10,
xonotic__xonstat__Versioning__requirementstxt__psycopg2__missing,Versioning,missing,DROPPED FOR NOW,https://gitlab.com/xonotic/xonstat,omitted,n,,,,,200205-180822,opened,FALSE,0,0,0,NULL,NULL,12,2,12,
susurrus__fat-rs__Job-Allow-Failure__x86_64-unknown-linux-gnux32,Job-Allow-Failure,NULL,DROPPED FOR NOW,https://gitlab.com/susurrus/fat-rs,omitted,,,,,,200205-181329,opened,FALSE,0,0,0,NULL,NULL,3,0,0,
gitlab-org__sidekiq-reliable-fetch__Job-Allow-Failure__integration_basic,Job-Allow-Failure,NULL,DROPPED FOR NOW,https://gitlab.com/gitlab-org/sidekiq-reliable-fetch,omitted,n,,,,,200205-180825,opened,FALSE,0,0,0,NULL,NULL,5,2,5,
vstconsulting__polemarch-ansible__Job-Retry__py27-coverage-ansible25,Job-Retry,always,DROPPED FOR NOW,https://gitlab.com/vstconsulting/polemarch-ansible,omitted,n,,,,,200205-180829,opened,FALSE,0,0,0,NULL,NULL,2,1,4,
hb9fxx__qrsspig__Job-Allow-Failure__report-cppcheck,Job-Allow-Failure,NULL,DROPPED FOR NOW,https://gitlab.com/hb9fxx/qrsspig,omitted,n,,"optional-job, code-quality",,not-now,200205-180837,opened,FALSE,1,0,2,NULL,decision:pending,7,3,35,
rolla__xpncms__Job-Allow-Failure__composer,Job-Allow-Failure,NULL,DROPPED FOR NOW,https://gitlab.com/rolla/xpncms,omitted,n,,,,,200205-180844,opened,FALSE,0,0,0,NULL,NULL,4,2,7,
bor-sh__git-gitlab__Versioning__gitlabyaml__mock__missing,Versioning,missing,DROPPED FOR NOW,https://gitlab.com/bor-sh/git-gitlab,omitted,,,,,,200205-181336,opened,FALSE,0,0,0,NULL,NULL,5,0,0,
kirara__reborn-modpack__Manual-Job__build_modpacks,Manual-Job,NULL,DROPPED FOR NOW,https://gitlab.com/kirara/reborn-modpack,omitted,,,,,,200205-181337,opened,FALSE,0,0,0,NULL,NULL,4,0,0,
fg-radi__osm2city__Versioning__requirementstxt__descartes__missing,Versioning,missing,DROPPED FOR NOW,https://gitlab.com/fg-radi/osm2city,omitted,,,,,,200205-181338,deleted,FALSE,0,0,0,NULL,NULL,-1,-1,-1,
petelawler__LiBrew__Versioning__requirementstxt__Adafruit-BBIO__missing,Versioning,missing,DROPPED FOR NOW,https://gitlab.com/petelawler/LiBrew,omitted,n,,,,,200205-180854,opened,FALSE,0,0,0,NULL,NULL,9,1,5,
nerdocs__gdaps__Versioning__requirementstxt__django__any-upper-version,Versioning,any-upper-version,DROPPED FOR NOW,https://gitlab.com/nerdocs/gdaps,omitted,n,,,,reject,200205-180856,opened,FALSE,0,0,1,NULL,unknown,1,1,341,
cnpsaintmartin__arpa-network__Job-Allow-Failure__lint,Job-Allow-Failure,NULL,DROPPED FOR NOW,https://gitlab.com/cnpsaintmartin/arpa-network,omitted,n,,,,,200205-180900,opened,FALSE,0,0,0,NULL,NULL,4,2,17,
gitlab-com__www-gitlab-com__Manual-Job__check_links,Manual-Job,NULL,DROPPED FOR NOW,https://gitlab.com/gitlab-com/www-gitlab-com,omitted,n,,no-time,,,200205-180911,opened,FALSE,0,0,0,NULL,NULL,369,1235,32509,
tezos__tezos__Job-Retry__integration-sandboxes-voting,Job-Retry,always,DROPPED FOR NOW,https://gitlab.com/tezos/tezos,omitted,n,,,,,200205-181126,opened,FALSE,0,0,0,NULL,NULL,97,49,570,
digested__node-digest__Job-Retry__firefox,Job-Retry,always,DROPPED FOR NOW,https://gitlab.com/digested/node-digest,omitted,n,"skipped-job, wrong-jobname",,,,200205-181146,opened,FALSE,0,0,0,NULL,NULL,3,2,11,
dosuken123__thin-gdk__Job-Retry__monolith-build,Job-Retry,always,DROPPED FOR NOW,https://gitlab.com/dosuken123/thin-gdk,omitted,y,,job-removed,,,200205-181147,opened,FALSE,0,0,0,NULL,NULL,2,2,42,5769410026
exosphere__exosphere__Job-Allow-Failure__dependency_scanning,Job-Allow-Failure,NULL,DROPPED FOR NOW,https://gitlab.com/exosphere/exosphere,omitted,n,dependency-scanning,,,,200205-181156,opened,FALSE,0,0,0,NULL,NULL,9,5,153,
BuildGrid__buildgrid__Versioning__requirementstxt__janus__missing,Versioning,missing,DROPPED FOR NOW,https://gitlab.com/BuildGrid/buildgrid,omitted,y,,,,,200205-181217,opened,FALSE,0,0,0,NULL,NULL,27,16,159,14395242213
flectra-hq__build-tools__Versioning__requirementstxt__coveralls__missing,Versioning,missing,DROPPED FOR NOW,https://gitlab.com/flectra-hq/build-tools,omitted,n,,,,not-now,200205-181227,opened,FALSE,0,0,4,NULL,decision:pending,3,1,1,
cppit__jucipp__Manual-Job__Clean-appveyor-cache,Manual-Job,NULL,DROPPED FOR NOW,https://gitlab.com/cppit/jucipp,omitted,n,,"temporary-smell, agreement",,not-now,200205-181234,opened,FALSE,0,0,3,NULL,decision:pending,39,1,43,
cordite__cordite__Job-Retry__test-nms,Job-Retry,always,DROPPED FOR NOW,https://gitlab.com/cordite/cordite,omitted,n,,,,,200205-181238,opened,FALSE,0,0,0,NULL,NULL,30,6,43,
webmaicon__sorterica__Manual-Job__gera_numero,Manual-Job,NULL,DROPPED FOR NOW,https://gitlab.com/webmaicon/sorterica,omitted,n,,,,,200205-181243,opened,FALSE,0,0,0,NULL,NULL,3,1,1,
Commit451__LabCoat__Job-Allow-Failure__pages,Job-Allow-Failure,NULL,DROPPED FOR NOW,https://gitlab.com/Commit451/LabCoat,omitted,n,,,,,200205-181309,opened,FALSE,0,0,0,NULL,NULL,27,2,26,
backstage-technical-services__laravel-site__Job-Allow-Failure__dependency_scanning,Job-Allow-Failure,NULL,DROPPED FOR NOW,https://gitlab.com/backstage-technical-services/laravel-site,omitted,,,,,,200205-181421,deleted,FALSE,0,0,0,NULL,reaction:negative,-1,-1,-1,
gnukhata__gkcore__Versioning__requirementstxt__sqlalchemy__missing,Versioning,missing,DROPPED FOR NOW,https://gitlab.com/gnukhata/gkcore,omitted,n,,,,,200205-181318,opened,FALSE,0,0,0,NULL,NULL,36,12,179,
aceteam-kaist__ACE-Molecule__Job-Allow-Failure__run-cpplint,Job-Allow-Failure,NULL,DROPPED FOR NOW,https://gitlab.com/aceteam.kaist/ACE-Molecule,omitted,n,code-quality,,,,200205-181338,opened,FALSE,0,0,0,NULL,NULL,25,2,2,
juergen-kosel-jk__wireshark__Job-Retry__clang-6,Job-Retry,always,DROPPED FOR NOW,https://gitlab.com/juergen.kosel.jk/wireshark,omitted,n,,no-issue-monitoring,,invalid,200205-181343,opened,FALSE,0,0,1,NULL,NULL,193,131,1003,
mailman__postorius__Job-Allow-Failure__git-heads,Job-Allow-Failure,NULL,DROPPED FOR NOW,https://gitlab.com/mailman/postorius,omitted,n,,,,,200205-181354,opened,FALSE,0,0,0,NULL,NULL,113,44,148,
gis23__search_engine__Manual-Job__build_GCR,Manual-Job,NULL,DROPPED FOR NOW,https://gitlab.com/gis23/search_engine,omitted,,,,,,200205-181430,opened,FALSE,0,0,0,NULL,NULL,1,0,0,
districted__web-client__Job-Retry__deploy-staging,Job-Retry,always,DROPPED FOR NOW,https://gitlab.com/districted/web-client,omitted,n,deploy-phase,,,,200205-181414,opened,FALSE,0,0,0,NULL,NULL,4,2,4,
pantomath-io__panto__Job-Retry__docker_tag_stable,Job-Retry,always,DROPPED FOR NOW,https://gitlab.com/pantomath-io/panto,omitted,n,deploy-phase,,,,200205-181415,opened,FALSE,0,0,0,NULL,NULL,5,2,25,
signal9__cpp-env__Manual-Job__build,Manual-Job,NULL,DROPPED FOR NOW,https://gitlab.com/signal9/cpp-env,omitted,n,,,,,200205-181429,opened,FALSE,0,0,0,NULL,NULL,1,2,12,
lu-ci__sigma__apex-sigma__Versioning__requirementstxt__aiml__missing,Versioning,missing,DROPPED FOR NOW,https://gitlab.com/lu-ci/sigma/apex-sigma,omitted,,,,,,200205-181440,deleted,FALSE,0,0,0,NULL,NULL,-1,-1,-1,
mataara__Mataara-Server__Job-Allow-Failure__python_lint,Job-Allow-Failure,NULL,DROPPED FOR NOW,https://gitlab.com/mataara/Mataara-Server,omitted,n,code-quality,,,,200205-181438,opened,FALSE,0,0,0,NULL,NULL,20,4,44,
noosfero__noosfero__Job-Retry__selenium-4,Job-Retry,always,DROPPED FOR NOW,https://gitlab.com/noosfero/noosfero,omitted,n,,,,,200205-181441,opened,FALSE,0,0,0,NULL,unknown,61,8,45,
